Asset name,Asset URL,Deprecated,Purchased Date,Last updated,Version
"Dungeon Architect","https://assetstore.unity.com/packages/slug/53895","","2021-07-12","2024-11-28","1.22.0"
"Pixul Photo Mode","https://assetstore.unity.com/packages/slug/56305","","2021-06-10","2016-12-20","1.1"
"Realistic Grenades Pack","https://assetstore.unity.com/packages/slug/53211","","2021-06-02","2017-03-07","1.0.2"
"500 Resource Icons","https://assetstore.unity.com/packages/slug/142951","","2021-05-24","2020-01-20","1.2"
"Meadow Environment - Dynamic Nature","https://assetstore.unity.com/packages/slug/132195","","2021-05-20","2026-03-20","3.0.5"
"Ultimate Sci-Fi Panel Materials","https://assetstore.unity.com/packages/slug/128234","","2021-04-29","2023-10-09","1.0"
"PBR Sci-Fi Floors textures","https://assetstore.unity.com/packages/slug/185613","","2021-04-29","2021-01-19","1.0"
"Beautify 2 - Advanced Post Processing","https://assetstore.unity.com/packages/slug/163949","","2021-04-16","2022-07-07","14.0.1"
"Sci-Fi Turret Constructor","https://assetstore.unity.com/packages/slug/112002","","2021-04-10","2025-11-04","2.1"
"AllSky - 220+ Sky / Skybox Set","https://assetstore.unity.com/packages/slug/10109","","2021-03-25","2024-07-20","5.2.0"
"Sky Series Collection","https://assetstore.unity.com/packages/slug/101490","","2021-03-25","2019-01-14","4.6"
"Sci-Fi base","https://assetstore.unity.com/packages/slug/173333","","2021-03-11","2020-07-06","1.1"
"Brutalist (Built-In)","https://assetstore.unity.com/packages/slug/176160","","2021-03-11","2020-08-11","1.0"
"Rock and Boulders 3","https://assetstore.unity.com/packages/slug/45643","","2021-03-11","2018-02-02","1.2"
"Terrain PBR textures VOL3","https://assetstore.unity.com/packages/slug/153206","","2021-03-11","2019-09-05","1.0"
"PBR Rocks - Nature Pack","https://assetstore.unity.com/packages/slug/100777","","2021-03-11","2025-09-04","3.0"
"Terrain PBR textures VOL 1","https://assetstore.unity.com/packages/slug/150487","","2021-03-11","2019-07-18","1.0"
"Terrain PBR textures VOL 2","https://assetstore.unity.com/packages/slug/150990","","2021-03-11","2019-07-29","1.0"
"Jungle - Tropical Vegetation","https://assetstore.unity.com/packages/slug/178966","","2021-03-11","2026-01-23","3.4.0"
"Giant Golem AnimSet","https://assetstore.unity.com/packages/slug/176573","","2020-11-20","2024-11-15","1.44"
"FurryS3: The Pirates","https://assetstore.unity.com/packages/slug/128565","","2020-11-19","2022-11-03","3.0"
"RPG & MMO UI X","https://assetstore.unity.com/packages/slug/152053","","2020-11-17","2025-04-06","1.5"
"Flat Icons Megapack","https://assetstore.unity.com/packages/slug/155819","","2020-11-07","2019-10-17","1.0"
